"","x"
"1",0.466887498307036
"2",0.497086813659547
"3",0.49581920302286
"4",0.615812487642281
"5",0.589205944083227
"6",0.656914322027149
"7",0.746057035007065
"8",0.754095725701457
"9",0.894608692498633
"10",0.809925668239697
"11",0.854872569300257
"12",0.86272857388511
"13",1.01420475205444
"14",1.04270176332662
"15",1.06444536948645
"16",1.14639599957185
"17",1.14209441079738
"18",1.22437684498699
"19",1.3023107297106
"20",1.39275946922987
"21",1.30692200611728
"22",1.35475581425058
"23",1.65143311556654
"24",1.60898910086106
"25",1.57930824539458
"26",1.72862510092321
"27",1.67665295337812
"28",1.96346330485736
"29",1.6850492193312
"30",1.92268960959411
"31",1.97353343759655
"32",1.85243398164577
"33",2.01245389903035
"34",1.89521041056472
"35",2.01007914334036
"36",2.22743944588367
"37",2.18066380171073
"38",2.5156526150952
"39",2.17101438373019
"40",2.11741153544721
"41",2.2457626778664
"42",2.32085682220854
"43",2.48119414086402
"44",2.19268533847822
"45",2.25024303354524
"46",2.55333310858533
"47",2.45037075768375
"48",2.68080629150482
"49",2.42806409897053
"50",2.61811579574505
"51",2.50562021791934
"52",3.10310851958778
"53",2.62433155771802
"54",3.05982054103892
"55",2.82516114331291
"56",3.3030641164484
"57",2.97414174871254
"58",3.19065960066193
"59",2.97010283469199
"60",3.17960724573078
"61",3.09522233810841
"62",3.65441130811895
"63",3.47660466366331
"64",3.41768004871062
"65",3.57464468613314
"66",3.15210437395225
"67",3.29733423904787
"68",3.43763619512139
"69",3.5136807053496
"70",3.8336920600539
"71",3.49047269701823
"72",3.93269812750688
"73",3.37961510846312
"74",3.6749998153474
"75",3.55284467338429
"76",3.92985882191151
"77",3.92858360547616
"78",4.38578972736901
"79",3.97291439466579
"80",4.11308078545983
"81",4.46039694612662
"82",4.61386918495908
"83",3.92153477441099
"84",4.48383027446275
"85",4.27393187998391
"86",5.00705030112798
"87",4.80166746932014
"88",4.86874600866409
"89",4.40980289714871
"90",4.11990308074193
"91",4.21711978654725
"92",4.52692156245252
"93",4.58138655032212
"94",4.52230532591433
"95",4.90971630556614
"96",4.62960612276036
"97",4.65709736778147
"98",5.20435281238847
"99",5.11085559786932
"100",5.0273013682479
"101",4.79911260818421
"102",5.30609671374557
"103",4.93225617384307
"104",5.1573397435373
"105",4.83168317256477
"106",5.07561855334115
"107",4.90748739567553
"108",5.46794773093069
"109",5.29246494420068
"110",5.80797937464602
"111",5.12763062417542
"112",5.76178180711229
"113",5.60218176080952
"114",5.44108277495445
"115",6.53371917424014
"116",6.63735142946435
"117",5.57552959444285
"118",5.35131240004523
"119",5.50672470138949
"120",5.64651169094207
"121",5.31944160544097
"122",5.51758177003035
"123",6.12950449391922
"124",5.76755985786726
"125",6.25937764806848
"126",6.31075307110356
"127",7.31443121118624
"128",6.3803465411213
"129",5.91840004612928
"130",6.25664873037103
"131",6.18561169704357
"132",6.72608038477488
"133",6.22326204815831
"134",6.09464955939182
"135",5.79711313059486
"136",6.6421734828061
"137",7.45682433031109
"138",7.12739624311138
"139",6.70135254079972
"140",6.63509643590232
"141",6.33006315988915
"142",6.2732855986909
"143",7.25652904993063
"144",7.63986083459591
"145",7.07994566704397
"146",6.3196889095123
"147",7.62932721515249
"148",8.0348449722005
"149",6.16158333210007
"150",7.80859713184018
"151",7.04964722591633
"152",7.71055844334902
"153",6.89413242715112
"154",6.86692342371907
"155",7.03908253685536
"156",7.77411328603286
"157",6.65583236704771
"158",8.29689713709796
"159",9.00988567690606
"160",7.95242215360462
"161",7.87049736384416
"162",7.63963027655887
"163",8.36515272408893
"164",8.19661819250789
"165",9.13357715549884
"166",7.92685365408559
"167",9.17693616444879
"168",8.06872456186971
"169",8.13083030210842
"170",8.45811476282242
"171",8.55066595452636
"172",8.66014780617828
"173",7.9263382267185
"174",7.84341601897331
"175",8.68907751552933
"176",9.16477023772237
"177",8.10462745615762
"178",9.57962083167609
"179",8.77964522063267
"180",9.10701705496426
"181",8.43636897077039
"182",9.00278347064217
"183",8.95416865744301
"184",8.35792025352358
"185",9.25018095424814
"186",8.34672700307378
"187",9.24809654924131
"188",9.34485397732324
"189",9.23843671296571
"190",7.58302072166822
"191",9.45344647565869
"192",0.534099173923299
"193",0.534245037551401
"194",0.530870615059504
"195",0.640712945506471
"196",0.681720739921708
"197",0.713709868495412
"198",0.750840740452676
"199",0.798193333893152
"200",0.786271217551417
"201",0.828824431115914
"202",0.938598091855543
"203",0.952811774832516
"204",1.11306123318527
"205",1.12204906041415
"206",1.18666576657203
"207",1.17016372872391
"208",1.2417676669512
"209",1.28688902873301
"210",1.33705902167399
"211",1.39795681540631
"212",1.47374514826894
"213",1.3668814369042
"214",1.55238525772903
"215",1.63058548184928
"216",1.49754867582931
"217",1.8282705639122
"218",1.83369013942572
"219",1.90354258141486
"220",1.56594458694344
"221",1.86963671832402
"222",2.1700821878384
"223",1.85159654251146
"224",2.03863935438867
"225",2.05748887229584
"226",2.15863767716573
"227",2.37025800987
"228",2.18710244448977
"229",2.38862885167958
"230",2.10946312389243
"231",2.60828975502576
"232",2.44339855968014
"233",2.49579221354573
"234",2.21470402115189
"235",2.54292129461689
"236",2.63063530804195
"237",2.8375093097116
"238",2.50533840704917
"239",2.70556230356247
"240",2.79749898947547
"241",2.71747442647901
"242",2.70511204864839
"243",2.69792517052533
"244",2.65476050387746
"245",3.07799505671356
"246",2.78738696994906
"247",3.349468657323
"248",3.49379214008789
"249",3.2562213409957
"250",3.30609178186114
"251",3.13212303074662
"252",3.49410556549419
"253",3.47937161398974
"254",3.54036917069913
"255",3.75750911375937
"256",3.28973608686548
"257",3.69303580518264
"258",3.59559026719489
"259",3.7628984944654
"260",3.60175182816264
"261",4.11055931225813
"262",3.71545780195121
"263",3.97873270936323
"264",4.03877823271387
"265",3.60715911524795
"266",4.15095688240655
"267",4.00650706727071
"268",4.18711199843823
"269",4.62725957031928
"270",4.15118793736078
"271",4.05584720898706
"272",4.75590109189976
"273",4.55036988211211
"274",4.26462818354582
"275",4.64142937992278
"276",4.74223478056835
"277",4.43192618255823
"278",4.6086514323517
"279",5.24248080083191
"280",4.53968919556572
"281",4.07117550811746
"282",4.76696600703277
"283",5.40955948268394
"284",4.86188576132893
"285",4.87411199539453
"286",5.13264634765841
"287",4.61565672773462
"288",5.18830506798535
"289",5.13226375539675
"290",5.10209293500106
"291",5.5234628709691
"292",5.2937153174853
"293",5.63172906144702
"294",5.83250455080428
"295",5.29346321909736
"296",5.51487999188098
"297",5.68730572815969
"298",5.6991044218362
"299",5.85877917619516
"300",5.39983754168584
"301",6.01278806399
"302",5.47642731482803
